TD index,NDVI_summ_slope,agro_type,year_plant,rainfall,temp,elevation,slope,aspect,flow_dir,stream_Den,DD,twi,tpi_8m
5.8,0.0023,liman,2012,256.5870056,13.1,314,6.626160145,312.7120056,32,4.275020123,0.89566499,6.111529827,-1.063369989
4.1,0.001,liman,2010,264.1029968,13.2,295.98,4.593579769,181.401001,4,0,0.798753977,8.722370148,-0.579020977
9.8,0.0019,liman,2010,268.6260071,13.2,287.23,5.631420135,344.8240051,64,0.096466303,0.432399988,5.542399883,-0.569921017
6.4,0.0023,liman,2011,271.3919983,13.2,282.49,2.128309965,310.0339966,32,0.359513015,0.596496999,5.110499859,-0.125275001
13.2,0.0069,shichs,1992,275.3389893,13.2,270.1,3.236860037,30.4769001,128,2.156539917,0.580669999,5.180210114,-0.095875897
5.8,0.0027,shichs,2013,255.5310059,13,308.15,2.451879978,275.6289978,16,4.462820053,0.902677,5.229949951,-0.239969
4.8,0.0042,shichs,1992,252.8000031,13,296.17,4.18144989,335.0140076,32,3.85352993,0.869886994,7.309810162,-0.27550599
6.4,0.0018,shichs,1988,247.0279999,13,367.21,3.206059933,332.2250061,32,4.702660084,0.714387,4.988190174,0.431912988
13.8,0.0045,shichs,1989,226.1410065,12.6,364.95,5.725560188,255.3399963,16,4.291309834,0.695002973,8.801289558,-1.429270029
7.8,0.0052,shichs,1988,223.7570038,12.5,318.14,8.690560341,345.0809937,64,2.433890104,0.590243995,6.03881979,0.490954012
9.5,0.0036,shichs,2006,225.9029999,12.6,348.06,1.754539967,141.6699982,2,1.060850024,0.570728004,7.065499783,-0.041713201
6.3,0.0028,shichs,2013,255.7160034,13.1,345.84,13.94939995,220.154007,64,5.217830181,0.835421026,5.927179813,0.611283004
4.1,0.0012,shichs,2011,248.1410065,12.9,334.95,7.70138979,260.4819946,16,3.078999996,0.863004029,5.680980206,0.424908996
7.9,0.0069,shichs,1988,226.1929932,12.6,365.74,11.32499981,283.4299927,16,2.863070011,0.792245984,5.604229927,0.00206292
4.9,0.0033,shichs,1989,228.8589935,12.7,373.3,3.736200094,245.0050049,8,3.16230011,0.807506979,10.96469975,-1.735630035
13.4,0.0029,shichs,2006,229.1569977,12.7,344.64,3.732429981,234.6569977,8,1.752740026,0.577603996,5.658840179,0.016876301
7.8,0.0062,shichs,1991,263.6090088,13.1,275.4,2.03098011,240.6419983,16,0,0.901639998,7.994249821,-0.139302
15.1,0.0074,shichs,1992,271.4570007,13.2,275.75,2.940020084,58.26119995,128,0.728929996,0.865763009,6.969089985,-0.204585001
9.2,0.0045,liman,2004,280.8330078,13.1,235.13,6.009359837,178.5180054,4,4.155370235,0.714639008,5.595499992,0.632982016
12.9,0.0019,liman,2013,279.2730103,13.2,257.45,1.802449942,238.6600037,8,2.922110081,0.619903982,9.916399956,-0.499572009
2.8,0.0007,shichs,2017,320.3930054,13.1,255.54,4.5071702,244.9989929,8,0,0.341935009,5.592430115,0.086548202
5,0.0004,shichs,1994,289.5960083,12.9,216.96,3.654069901,125.7799988,2,1.379490018,0.303686,4.631710052,0.604312003
18.2,0.0038,liman,1981,287.9790039,13.3,274.91,1.483989954,249.9759979,16,0,0.450966001,8.549050331,-0.043097898
9.9,0.0011,liman,2012,290.3479919,13.4,277.76,3.362709999,216.4559937,8,0.017644599,0.480540991,6.734230042,0.059295401
21.2,0.0026,liman,1972,294.2799988,13.8,373.4,10.50730038,319.5190125,32,0,0.658623993,5.642479897,-0.073705196
8.4,0.0024,liman,1989,309.3819885,13.3,269.73,3.574939966,74.17700195,64,0.903999984,0.141697004,6.135819912,0.771256983
6.8,0.002,liman,2012,293.7980042,13.4,267.47,0.255944014,338.2659912,64,3.212470055,0.359113991,7.19822979,-0.00534779
4.8,0.0018,liman,2013,294.4989929,13.5,284.4,3.081470013,51.74629974,64,2.388999939,0.354009986,8.049590111,-0.328458011
19.1,0.0058,shichs,1981,294.2529907,13.3,260.11,7.552430153,224.5110016,8,2.45510006,0.43392399,4.815169811,0.608162999
9,0.0082,shichs,1992,293.0920105,13.7,342.69,6.533959866,228.2480011,8,0,0.847670972,5.668849945,0.0176434
4,0.0003,shichs,2000,281.3640137,13.5,342.25,8.354789734,230.651001,8,0,0.349216014,5.577410221,-0.077778503
12.5,0.0039,shichs,2001,289.9620056,13.3,281.53,3.786930084,196.2630005,8,0,0.584668994,5.832779884,0.144258007
5.3,0.0025,shichs,1995,286.2369995,13.3,276.22,2.588510036,110.5159988,2,0,0.364535987,5.458340168,0.33612299
16.6,0.0066,shichs,1992,279.8510132,13.3,272.67,3.458839893,317.5360107,32,1.548699975,0.384815007,6.241690159,-0.421604991
18.2,0.0047,shichs,1992,281.8720093,13.3,269.31,3.349119902,263.7250061,16,0,0.397392988,8.437040329,-0.225040004
9.2,0.0011,shichs,1969,287.3469849,13.7,381.24,12.69789982,156.772995,2,2.69611001,0.823216021,6.268710136,-0.38658601
10.5,0.004,shichs,2014,343.0549927,12.9,188.13,4.183420181,234.1950073,8,2.246999979,0.124719001,5.864059925,0.500536978
11.3,0.0045,shichs,1997,322.947998,13.2,291.45,7.957799911,28.92309952,128,0,0.116085999,4.204939842,0.764792979
5.5,0.004,shichs,2000,337.8569946,12.9,209.3,4.729000092,256.6950073,16,0.465999991,0.272000015,5.732999802,0.057
